Prefecture,year,primaryProdMill,secondaryProdMill,tertiaryProdMill
Hokkaido,2006,738130,3471741,15099033
Aomori,2006,184553,1103949,3483505
Iwate,2006,163282,1133156,3282090
Miyagi,2006,142535,1791745,6655614
Akita,2006,117665,879225,2841931
Yamagata,2006,130788,1214332,2720802
Fukushima,2006,140749,2690323,5222437
Ibaraki,2006,240404,4379215,7131455
Tochigi,2006,149293,3504727,4780069
Gunma,2006,113252,2964969,4810719
Saitama,2006,118387,6127606,14806430
Chiba,2006,230216,5126340,14644732
Tokyo,2006,49295,12423622,87949783
Kanagawa,2006,57992,8610846,23741174
Niigata,2006,189840,2599928,6539278
Toyama,2006,54865,1686682,3060153
Ishikawa,2006,51604,1295386,3473811
Fukui,2006,36357,943101,2544615
Yamanashi,2006,59500,1097056,2184146
Nagano,2006,157502,2727540,5560361
Gifu,2006,80464,2568014,5170008
Shizuoka,2006,175304,7396324,9798350
Aichi,2006,183327,15089750,22060143
Mie,2006,97831,3611831,4428568
Shiga,2006,42327,2820404,3374723
Kyoto,2006,44376,2793572,7306640
Osaka,2006,37336,7717213,31673390
Hyogo,2006,98184,6183231,14040504
Nara,2006,22022,930358,2926240
Wakayama,2006,84338,1303152,2327613
Tottori,2006,45089,568956,1512029
Shimane,2006,48135,588938,1834426
Okayama,2006,71958,3102296,5060929
Hiroshima,2006,83592,3472991,8049490
Yamaguchi,2006,51898,2250503,3725015
Tokushima,2006,67262,867236,1963420
Kagawa,2006,55194,968789,2849255
Ehime,2006,120433,1473526,3575810
Kochi,2006,96271,417960,1891798
Fukuoka,2006,139689,3770023,14210369
Saga,2006,78627,812202,2004939
Nagasaki,2006,117128,858669,3431557
Kumamoto,2006,172030,1358595,4222738
Oita,2006,94299,1461518,2902822
Miyazaki,2006,170563,726871,2657611
Kagoshima,2006,201888,1149244,4341248
Okinawa,2006,69390,460221,3185737
Hokkaido,2007,767064,3280768,15199156
Aomori,2007,200579,1074515,3494130
Iwate,2007,174361,1137784,3276762
Miyagi,2007,128916,1602504,6719904
Akita,2007,125179,823565,2853059
Yamagata,2007,132162,1391831,2756881
Fukushima,2007,153659,2708028,5276045
Ibaraki,2007,265057,4693325,7406469
Tochigi,2007,156642,3587204,4888795
Gunma,2007,119324,3223681,4849197
Saitama,2007,128778,6057021,15018360
Chiba,2007,250777,5401854,14860020
Tokyo,2007,52248,12208277,88757326
Kanagawa,2007,62826,8386759,24463508
Niigata,2007,189961,2666528,6438640
Toyama,2007,51318,1692701,3092882
Ishikawa,2007,50066,1383080,3485382
Fukui,2007,35865,976400,2590481
Yamanashi,2007,62712,1130063,2217723
Nagano,2007,165115,2920592,5530597
Gifu,2007,82730,2550971,5223523
Shizuoka,2007,182703,7676007,9740761
Aichi,2007,196382,16130121,22404715
Mie,2007,102551,3983585,4576589
Shiga,2007,41923,2884811,3459551
Kyoto,2007,46557,3043352,7410639
Osaka,2007,39819,8025667,31923548
Hyogo,2007,108472,5935648,14243296
Nara,2007,24242,924302,2911484
Wakayama,2007,81794,1197831,2367612
Tottori,2007,48465,530008,1506764
Shimane,2007,49031,643674,1842732
Okayama,2007,74838,2902516,5178392
Hiroshima,2007,84959,3774636,8383959
Yamaguchi,2007,57983,2275195,3811767
Tokushima,2007,66390,828820,2001638
Kagawa,2007,57130,995090,2886423
Ehime,2007,112044,1394679,3681838
Kochi,2007,94085,366059,1915316
Fukuoka,2007,152405,3881332,14426967
Saga,2007,87438,921731,2038654
Nagasaki,2007,128098,863373,3507302
Kumamoto,2007,193283,1384980,4310403
Oita,2007,103758,1479242,2953323
Miyazaki,2007,181890,764014,2696060
Kagoshima,2007,225314,1230873,4374752
Okinawa,2007,72944,442026,3245926
