Prefecture,year,6to5Myen,7to6Myen,8to7Myen,10to8Myen,12to10Myen,15to12Myen_Filer,20to15Myen_Filer,30to20Myen_Filer,50to30Myen_Filer,100to50Myen_Filer,200to100Myen_Filer,500to200Myen_Filer,1Bto500Myen_Filer,2Bto1Byen_Filer,5Bto2Byen_Filer,10Bto5Byen_Filer,10ByenAbove_Filer,TotalSelfFiled_Filer
Hokkaido,2006,14467,10767,7857,9666,5845,5571,4934,3484,1947,817,241,62,7,4,2,－,－,298594
Aomori,2006,2939,2120,1536,1789,1079,1016,898,670,438,208,29,9,1,－,－,－,－,68974
Iwate,2006,3317,2360,1624,1836,1103,924,940,663,396,175,40,5,－,－,－,－,－,81927
Miyagi,2006,6474,4781,3410,4299,2591,2594,2223,1644,966,446,87,28,6,1,1,1,1,136305
Akita,2006,2613,1753,1211,1378,797,861,774,550,324,142,23,3,－,－,－,－,－,63236
Yamagata,2006,3373,2378,1457,1717,1072,1022,917,667,418,171,20,10,1,－,－,－,－,75554
Fukushima,2006,5504,3916,2715,3025,1793,1637,1534,1186,736,240,46,8,3,2,－,－,－,122135
Ibaraki,2006,8781,6789,4706,5969,3656,3210,2883,2137,1125,533,121,41,10,－,1,－,－,171276
Tochigi,2006,6172,4697,3136,4106,2533,2343,2214,1598,967,440,94,27,1,－,1,－,－,118930
Gunma,2006,6134,4602,3271,4035,2447,2324,2287,1793,1053,381,64,23,6,1,1,－,－,125843
Saitama,2006,23134,17206,13185,17695,11016,10614,9733,7800,4671,2333,657,177,33,8,4,－,1,466437
Niigata,2006,7308,5333,3529,4208,2535,2402,2298,1673,950,392,82,14,3,1,1,－,－,151673
Nagano,2006,7248,5153,3475,4243,2419,2248,2082,1543,954,351,56,14,6,2,－,－,－,154217
Chiba,2006,19497,14310,11004,14852,9399,9290,8536,6784,3950,1865,502,178,34,9,7,1,－,380775
Tokyo,2006,59232,45617,36529,52704,36392,37970,37425,32000,21208,11826,4256,1841,420,148,66,15,5,1079954
Kanagawa,2006,34047,25454,20221,28433,18588,17815,16889,13477,8224,4086,1113,326,62,12,5,－,－,610707
Yamanashi,2006,2920,2133,1566,1959,1099,1054,953,647,393,130,29,11,3,－,－,－,－,61481
Toyama,2006,3939,2683,1833,2124,1328,1264,1116,817,550,229,31,3,3,3,－,－,－,75935
Ishikawa,2006,4021,2869,2069,2741,1693,1580,1331,1007,632,237,42,14,6,2,－,－,－,77796
Fukui,2006,2849,2084,1546,1856,1089,971,887,669,396,167,29,8,2,－,－,－,－,55815
Gifu,2006,7550,5397,4036,5225,2977,2777,2547,1939,1253,518,90,26,2,－,－,－,－,146063
Shizuoka,2006,15071,11440,8067,10578,6261,5845,5337,4064,2545,1104,217,69,7,1,1,－,1,290458
Aichi,2006,28603,21445,17227,23604,14900,14334,13189,10662,6810,3319,807,247,33,16,3,1,－,526411
Mie,2006,5711,4408,3208,4067,2368,2230,1949,1414,981,380,55,12,6,1,－,－,－,118310
Shiga,2006,4343,3479,2771,3301,2097,1815,1411,1203,668,303,62,13,4,－,1,－,1,83120
Kyoto,2006,8211,6012,4849,6712,4545,4328,3835,2897,1667,801,222,65,16,5,－,－,－,163223
Osaka,2006,26238,19849,15921,22084,14336,14165,13206,10455,6333,2847,777,233,59,18,8,－,－,528206
Hyogo,2006,15753,11987,9647,13031,8353,8241,7593,6248,4033,1804,522,185,41,9,6,－,－,328198
Nara,2006,4287,3217,2626,3464,2223,2175,2006,1541,963,446,115,31,3,－,2,－,－,82084
Wakayama,2006,2734,2151,1570,1942,1159,1100,1005,726,518,231,35,9,－,－,－,－,－,58084
Tottori,2006,1549,1066,762,988,569,599,451,327,188,51,15,6,－,－,－,－,－,35261
Shimane,2006,2077,1462,885,1170,726,668,580,423,278,94,15,2,2,－,－,－,－,49741
Okayama,2006,5921,4140,2994,3865,2402,2287,2048,1619,856,334,62,31,3,3,1,－,－,120774
Hiroshima,2006,9699,7156,5512,7002,4151,4068,3631,2747,1676,714,140,37,7,2,1,－,－,208637
Yamaguchi,2006,4439,3174,2306,2672,1630,1486,1378,1004,597,175,31,12,1,－,1,1,－,104577
Tokushima,2006,2038,1506,1157,1459,893,829,803,619,409,150,41,13,2,1,－,－,－,40983
Kagawa,2006,3124,2357,1606,2195,1369,1207,1057,801,506,169,37,11,2,－,－,－,－,64743
Ehime,2006,3705,2763,1841,2575,1630,1560,1519,1111,724,320,68,8,2,－,－,－,－,78594
Kochi,2006,2144,1440,1040,1331,781,841,740,550,329,118,20,3,1,－,－,－,－,43652
Fukuoka,2006,12918,9912,7380,9822,6383,6297,5905,4428,2630,1188,284,89,15,3,4,3,－,273237
Saga,2006,2561,1992,1251,1473,817,745,627,483,289,123,29,2,1,－,－,－,－,52073
Nagasaki,2006,3509,2652,1731,2146,1225,1306,1145,803,471,183,33,16,1,－,－,－,－,83274
Kumamoto,2006,4916,3610,2442,2998,1823,1739,1666,1213,728,288,50,15,2,－,1,－,－,96734
Oita,2006,2832,2094,1499,1883,1096,1106,1022,734,419,213,43,7,2,1,－,－,－,62522
Miyazaki,2006,3020,2105,1460,1733,991,1030,875,682,455,200,29,6,－,－,－,－,－,63978
Kagoshima,2006,4111,2931,2056,2620,1584,1554,1494,1096,654,237,50,13,1,－,－,－,－,91910
Okinawa,2006,3421,2819,2032,2575,1596,1413,1308,995,549,228,61,15,1,－,－,－,1,60507
Hokkaido,2007,13589,10241,7290,8986,5476,5223,4765,3715,2022,841,250,51,4,2,1,-,-,279950
Aomori,2007,2975,2182,1447,1741,1020,1044,897,681,424,213,32,7,-,-,-,-,-,66173
Iwate,2007,3205,2301,1530,1794,1016,959,886,678,376,185,36,7,-,-,-,-,-,77278
Miyagi,2007,6020,4702,3333,4105,2584,2463,2222,1603,1004,473,106,33,3,1,1,-,-,128413
