	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	1	2	3	4	5	6a	6b	6c
								
oldSelf10000	0.00355**	0.00439**	0.00449**	0.00395**	0.00336**	0.00386**	0.00387**	0.00423**
	(0.00142)	(0.00180)	(0.00169)	(0.00163)	(0.00166)	(0.00180)	(0.00171)	(0.00177)
elderlyper10000		-0.000263	-0.000247	-0.000447	-0.000689	-0.000577	-0.000694	-0.000908
		(0.000568)	(0.000605)	(0.000544)	(0.000582)	(0.000727)	(0.000578)	(0.000848)
primaryProp			-1.597	-6.912	-5.895	1.380	-8.131	7.108
			(12.95)	(14.05)	(13.23)	(16.91)	(14.27)	(21.04)
above50Myen10000				-0.129***	-0.120***			
				(0.0402)	(0.0416)			
RojinOccupants10000					0.0286	0.0324	0.0326	0.0482*
					(0.0218)	(0.0220)	(0.0226)	(0.0249)
2012.year	-0.433***	-0.344*	-0.347*	-0.376*	-0.306	-0.250	-0.253	
	(0.0711)	(0.198)	(0.206)	(0.191)	(0.204)	(0.265)	(0.202)	
lagsavings						8.63e-09		
						(3.86e-08)		
lagprophhover100M							-6.223	
							(5.219)	
lagsminusl_3								2.35e-09
								(4.03e-08)
2012o.year								-
								
Constant	5.935***	6.623***	6.553***	7.991***	8.755***	7.447***	8.495***	8.251***
	(0.517)	(1.749)	(1.859)	(1.666)	(1.767)	(1.717)	(1.723)	(2.390)
								
Observations	94	94	94	94	94	94	94	47
R-squared	0.218	0.222	0.223	0.278	0.300	0.254	0.276	0.253
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
