	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	1	2	3	4	5	6a	6b	6c
								
oldSelf10000	0.00221	0.00423*	0.00393	0.00372	0.00365	0.00464	0.00388	0.00584*
	(0.00161)	(0.00222)	(0.00282)	(0.00278)	(0.00274)	(0.00298)	(0.00285)	(0.00332)
elderlyper10000		-0.000665	-0.000678	-0.000772	-0.000782	-0.000820	-0.000835	-0.00153*
		(0.000546)	(0.000555)	(0.000549)	(0.000586)	(0.000661)	(0.000594)	(0.000843)
primaryProp			3.312	-2.282	-2.147	5.206	-0.917	11.53
			(23.22)	(24.80)	(24.89)	(22.62)	(24.52)	(30.08)
above50Myen10000				-0.100*	-0.0997*			
				(0.0551)	(0.0557)			
RojinOccupants10000					0.00211	0.000855	0.00444	0.0187
					(0.0208)	(0.0204)	(0.0212)	(0.0287)
2.nRegion	0.490	0.644*	0.645*	0.585*	0.573*	0.682*	0.579*	0.885***
	(0.299)	(0.330)	(0.335)	(0.343)	(0.334)	(0.341)	(0.342)	(0.316)
3.nRegion	-0.366	0.0104	-0.121	-0.0710	-0.0882	0.124	-0.202	0.571
	(0.351)	(0.400)	(0.970)	(0.988)	(0.988)	(1.002)	(0.978)	(1.188)
4.nRegion	-0.640**	-0.604**	-0.606**	-0.599*	-0.600*	-0.584**	-0.625**	-0.386
	(0.289)	(0.274)	(0.274)	(0.303)	(0.306)	(0.252)	(0.305)	(0.231)
5.nRegion	-0.420	-0.439	-0.464	-0.317	-0.318	-0.455	-0.381	-0.407
	(0.387)	(0.373)	(0.416)	(0.412)	(0.416)	(0.424)	(0.415)	(0.510)
6.nRegion	-0.0168	-0.0172	-0.0680	-0.0579	-0.0651	0.152	-0.174	0.589
	(0.331)	(0.314)	(0.375)	(0.379)	(0.387)	(0.486)	(0.401)	(0.554)
7.nRegion	-0.129	0.0181	-0.00346	0.0395	0.0267	0.0343	0.0214	0.354
	(0.245)	(0.247)	(0.306)	(0.315)	(0.333)	(0.322)	(0.341)	(0.481)
8.nRegion	-0.307	-0.213	-0.257	-0.229	-0.225	-0.0203	-0.306	0.681
	(0.475)	(0.434)	(0.547)	(0.541)	(0.544)	(0.579)	(0.551)	(0.692)
2012.year	-0.462***	-0.242	-0.244	-0.278	-0.276	-0.162	-0.225	
	(0.0734)	(0.195)	(0.196)	(0.195)	(0.204)	(0.262)	(0.199)	
lagsavings						3.60e-08		
						(4.29e-08)		
lagprophhover100M							-5.469	
							(6.214)	
lagsminusl_3								6.98e-08
								(5.14e-08)
2012o.year								-
								
Constant	6.597***	8.321***	8.442***	9.249***	9.291***	7.906***	9.347***	9.123***
	(0.693)	(1.633)	(1.776)	(1.785)	(1.915)	(1.715)	(2.007)	(2.094)
								
Observations	94	94	94	94	94	94	94	47
R-squared	0.358	0.378	0.378	0.408	0.408	0.388	0.393	0.412
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
