	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	1	2	3	4a	5a	5b	5c
							
oldFFF	0.00238**	0.00271**	0.00193	0.00156	0.00281**	0.00195	0.00379***
	(0.000959)	(0.00125)	(0.00130)	(0.00132)	(0.00134)	(0.00134)	(0.00139)
elderlyper10000		-0.000163	-0.000300	-0.000579	-0.000509	-0.000542	-0.000877
		(0.000541)	(0.000508)	(0.000533)	(0.000600)	(0.000532)	(0.000646)
above50Myen10000			-0.106***	-0.101**			
			(0.0375)	(0.0397)			
RojinOccupants10000				0.0314	0.0299	0.0344	0.0444
				(0.0243)	(0.0239)	(0.0252)	(0.0267)
2012.year	-0.460***	-0.410**	-0.446**	-0.363*	-0.286	-0.322*	
	(0.0690)	(0.183)	(0.177)	(0.184)	(0.213)	(0.184)	
lagsavings					1.99e-08		
					(2.90e-08)		
lagprophhover100M						-3.123	
						(5.247)	
lagsminusl_3							1.16e-08
							(2.70e-08)
2012o.year							-
							
Constant	6.705***	7.249***	8.260***	9.027***	7.811***	8.601***	8.829***
	(0.224)	(1.860)	(1.734)	(1.777)	(1.809)	(1.750)	(2.246)
							
Observations	94	94	94	94	94	94	47
R-squared	0.219	0.221	0.257	0.283	0.258	0.258	0.266
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
