	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	1	2	3	4a	5a	5b	5c
							
oldFFF	0.00165	0.00262*	0.00192	0.00181	0.00275*	0.00221	0.00417**
	(0.00102)	(0.00153)	(0.00162)	(0.00172)	(0.00162)	(0.00167)	(0.00174)
elderlyper10000		-0.000503	-0.000554	-0.000584	-0.000549	-0.000641	-0.00114*
		(0.000540)	(0.000547)	(0.000566)	(0.000568)	(0.000572)	(0.000665)
above50Myen10000			-0.0876*	-0.0879*			
			(0.0458)	(0.0468)			
RojinOccupants10000				0.00529	0.00314	0.00580	0.0159
				(0.0232)	(0.0239)	(0.0241)	(0.0313)
2.nRegion	0.397	0.460	0.438	0.413	0.446	0.413	0.638**
	(0.304)	(0.333)	(0.337)	(0.329)	(0.331)	(0.340)	(0.270)
3.nRegion	-0.580**	-0.454*	-0.568**	-0.582**	-0.358	-0.643*	0.218
	(0.233)	(0.242)	(0.260)	(0.271)	(0.316)	(0.324)	(0.378)
4.nRegion	-0.634**	-0.617**	-0.628**	-0.629**	-0.611**	-0.642**	-0.414*
	(0.272)	(0.262)	(0.285)	(0.288)	(0.257)	(0.286)	(0.228)
5.nRegion	-0.512	-0.602*	-0.485	-0.478	-0.604*	-0.541	-0.572
	(0.332)	(0.336)	(0.338)	(0.342)	(0.339)	(0.334)	(0.390)
6.nRegion	-0.144	-0.219	-0.231	-0.237	-0.112	-0.336	0.403
	(0.328)	(0.347)	(0.359)	(0.366)	(0.432)	(0.389)	(0.464)
7.nRegion	-0.210	-0.137	-0.100	-0.124	-0.138	-0.131	0.175
	(0.261)	(0.258)	(0.267)	(0.286)	(0.282)	(0.300)	(0.346)
8.nRegion	-0.468	-0.486	-0.460	-0.435	-0.364	-0.529	0.297
	(0.488)	(0.476)	(0.471)	(0.482)	(0.493)	(0.499)	(0.521)
2012.year	-0.476***	-0.322*	-0.370*	-0.362*	-0.292	-0.310*	
	(0.0687)	(0.178)	(0.189)	(0.194)	(0.197)	(0.185)	
lagsavings					1.79e-08		
					(3.12e-08)		
lagprophhover100M						-4.612	
						(5.151)	
lagsminusl_3							5.46e-08
							(3.69e-08)
2012o.year							-
							
Constant	7.114***	8.809***	9.410***	9.490***	8.541***	9.593***	9.361***
	(0.309)	(1.856)	(1.858)	(1.909)	(1.885)	(1.997)	(2.148)
							
Observations	94	94	94	94	94	94	47
R-squared	0.361	0.375	0.396	0.397	0.378	0.386	0.393
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
